News(id=51751, publication_date=1729263413, title='В России обсуждают запрет езды на электросамокатах людям до 16 лет', place=null, description='<p>И возможность арендовать СИМ только при наличии водительского удостоверения. </p>', site_url='https://kudago.com/all/news/na-samokatah-razreshat-ezdit-s/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51751, publication_date=1729263413, title='В России обсуждают запрет езды на электросамокатах людям до 16 лет', place=null, description='<p>И возможность арендовать СИМ только при наличии водительского удостоверения. </p>', site_url='https://kudago.com/all/news/na-samokatah-razreshat-ezdit-s/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51747, publication_date=1729253613, title='Режим работы станции «Горьковская» изменится из-за ремонта', place=null, description='<p>Он продлится почти два месяца.</p>', site_url='https://kudago.com/spb/news/rezhim-gorkovskoj-izmenitsya-iz-za-remonta/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51746, publication_date=1729245446, title='Из Петербурга в Гатчину отправится «Пушкинская Ласточка»', place=null, description='<p>Пассажиры смогут принять участие в викторине.</p>', site_url='https://kudago.com/spb/news/pushkinskaya-lastochka-iz-peterburga-v-gatchinu/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51744, publication_date=1729181899, title='Кинематографисты готовят ремейк «Невероятных приключений итальянцев в России»', place=null, description='<p>Его снимут совместно с Китаем.</p>', site_url='https://kudago.com/all/news/kinematografistyi-gotovyat-remejk/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51743, publication_date=1729180585, title='Появился новый трейлер финального сезона «Аркейна»', place=null, description='<p>Трансляцию разобьют на три части.</p>', site_url='https://kudago.com/all/news/trejler-finalnogo-sezona-arkejna/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51742, publication_date=1729180418, title='В тизере нового «Уоллеса и Громита» у главных героев неприятности', place=null, description='<p>Премьера мультфильма состоится в январе.</p>', site_url='https://kudago.com/all/news/v-tizere-novogo-uollesa-i/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51741, publication_date=1729177662, title='Разработаны новые правила поступления в вузы для будущих учителей', place=null, description='<p>Они начнут действовать через два года.</p>', site_url='https://kudago.com/all/news/razrabotanyi-novyie-pravila/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51733, publication_date=1729175470, title='Путешествие без границ с VK Видео: блоги о необычных маршрутах и лайфхаках для путешествий', place=null, description='<p>В приложении VK Видео есть что посмотреть, чем бы вы ни увлекались. Включайте любимых блогеров, шоу, клипы и сериалы, сохраняйте понравившееся, получайте персональные рекомендации. А специально для тех, кто не представляет жизнь без путешествий, мы составили подборку из трёх видеоблогов, авторы которых рассказывают о малоизвестных местах и делятся советами для самостоятельных туристов.</p>', site_url='https://kudago.com/all/news/puteshestvie-bez-granits-s-vk/', favorites_count=1, comments_count=0, rating=0.7310585786300049)
News(id=51740, publication_date=1729174744, title='Вышел дебютный трейлер байопика про Александра Пушкина', place=null, description='<p>Премьера состоится в День всех влюблённых.</p>', site_url='https://kudago.com/all/news/trejler-bajopika-pro-aleksandra-pushkina/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51739, publication_date=1729174362, title='Открыт приём заявок на премию для фуд-блогеров', place=null, description='<p>Призы вручат в 13 номинациях.</p>', site_url='https://kudago.com/all/news/fud-premii-2024/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51738, publication_date=1729168166, title='Первая в России музыкальная разметка появилась на трассе между Москвой и Петербургом', place=null, description='<p>Для водителей будет звучать знакомая с детства мелодия.</p>', site_url='https://kudago.com/all/news/pervaya-v-rossii-muzyikalnaya/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51737, publication_date=1729164126, title='Умер бывший солист One Direction Лиам Пейн', place=null, description='<p>Он выпал из окна.</p>', site_url='https://kudago.com/all/news/umer-byvshij-solist-one-direction/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51736, publication_date=1729162117, title='Русский музей открывает масштабную выставку к юбилею Карла Брюллова', place=null, description='<p>На ней представят около 400 работ мастера.</p>', site_url='https://kudago.com/spb/news/russkij-muzej-otkryivaet/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51732, publication_date=1729095150, title='Собака забралась на самую высокую пирамиду Египта', place=null, description='<p>Видео опубликовано в соцсетях.</p>', site_url='https://kudago.com/all/news/sobaka-zabralas-na-samuyu/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51731, publication_date=1729091924, title='У ЕГЭ не будет альтернативы', place=null, description='<p>Но его противники продолжат борьбу.</p>', site_url='https://kudago.com/all/news/u-ege-ne-budet-alternativyi/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51730, publication_date=1729091779, title='Героев «Гарри Поттера» превратили в котов', place=null, description='<p>А ещё в рок-звёзд.</p>', site_url='https://kudago.com/all/news/geroev-garri-pottera/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51729, publication_date=1729088668, title='Водительские права предложили выдавать с 16 лет', place=null, description='<p>Обращение направлено в МВД.</p>', site_url='https://kudago.com/all/news/v-rossii-predlozhili-vyidavat/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51609, publication_date=1729087396, title='Go по работам: основательница благотворительного проекта «Путь домой» про осознанную помощь, ценность жизни и ответственность за тех, кого мы приручили', place=null, description='<p>Сегодня героем нашей рубрики <a href="https://kudago.com/spb/activity/go-po-rabotam/">Go по работам</a> стала Валерия Котлюба, руководитель <a class="external-link" href="https://vk.com/homeway_spb" rel="nofollow" target="_blank">благотворительного проекта «ПУТЬ ДОМОЙ»</a> и директор АНО «Агентство по реализации социально-значимых проектов и программ „ВЕТЕР ПЕРЕМЕН“». Валерия следит за тем, чтобы работа проекта не прекращалась, а также организует <a href="https://kudago.com/spb/event/blagotvoritelnost-put-domoj-oktyabr-2023/">одноимённый фестиваль</a>, который за время своего существования помог найти дом более чем для 1000 животных. Мы поговорили с ней о том, почему домашние животные оказываются на улице, как этого можно избежать и почему любая помощь — это возможность сделать чью-то жизнь лучше. </p>', site_url='https://kudago.com/all/news/go-po-rabotam-osnovatelnitsa-blago-proekt/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51728, publication_date=1729084683, title='Кабаны держат в страхе посёлок в Ленобласти', place=null, description='<p>Жители боятся отпускать детей на прогулку.</p>', site_url='https://kudago.com/spb/news/kabanyi-derzhat-v-strazhe-posyolok-v/', favorites_count=0, comments_count=0, rating=0.5)
News(id=51727, publication_date=1729084211, title='«Ночлежка» открыла первый пункт обогрева для бездомных в Петербурге', place=null, description='<p>Второй заработает на этой неделе.</p>', site_url='https://kudago.com/spb/news/nochlezhka-otkryila-pervyij-punkt/', favorites_count=0, comments_count=0, rating=0.5)
