"News(id=51990, publication_date=1731079672, title='Проблемы современных студентов: рецензия на сериал «Преступление и наказание»', place=null, description='<p>Премьера самой ожидаемой новинки осени откладывалась несколько раз. Какими бы причины ни были, «Кинопоиску» удалось подогреть интерес аудитории. Однако свежий, оригинальный для платформы проект и флагманский со времён прошлогоднего <a href=""https://kudago.com/all/news/mir-fentezi-i-panka-retsenziya-na/"" target=""_blank"" title=""Рецензия на сериал «Король и Шут»"">«Короля и шута»</a> пока не оправдал ожиданий публики. Рейтинг сериала на данный момент не превышает отметку 5.8, а большинство зрителей не понимает, за что так обошлись с Достоевским. Каким получился новый сериал Владимира Мирзоева, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе <a href=""https://kudago.com/spb/kino/"" target=""_blank"" title=""киноафиша "">про кино</a>.</p>', site_url='https://kudago.com/all/news/retsenziya-na-serial-prestuplenie/', favorites_count=0, comments_count=0, rating=0.5)"
"News(id=51992, publication_date=1731079124, title='Под Петербургом кота в домике выбросили на помойку', place=null, description='<p>Его подобрали местные жители.</p>', site_url='https://kudago.com/spb/news/pod-peterburgom-kota-v-domike/', favorites_count=0, comments_count=0, rating=0.5)"
"News(id=51991, publication_date=1731078940, title='Барри Кеоган вернётся к роли Джокера', place=null, description='<p>Герою из «Бэтмена» Мэтта Ривза посвятят отдельный сериал.</p>', site_url='https://kudago.com/all/news/barri-keogan-vernyotsya-k-roli/', favorites_count=0, comments_count=0, rating=0.5)"
"News(id=51987, publication_date=1731078019, title='Каток во «Флагштоке» заработал в тестовом режиме', place=null, description='<p>Он доступен для будущих фигуристов и сирот.</p>', site_url='https://kudago.com/spb/news/katok-v-nikolskih-ryadah/', favorites_count=0, comments_count=0, rating=0.5)"
"News(id=51989, publication_date=1731077881, title='В Дублине выбрали лучшего двойника Пола Мескала', place=null, description='<p>Сам актёр на состязание не пришёл. </p>', site_url='https://kudago.com/all/news/v-dubline-vyibrali-luchshego/', favorites_count=0, comments_count=0, rating=0.5)"
"News(id=51988, publication_date=1731077688, title='В трейлере рождественской комедии Джек Блэк перевоплощается из Сатаны в Санту', place=null, description='<p>И обратно.</p>', site_url='https://kudago.com/all/news/v-trejlere-rozhdestvenskoj/', favorites_count=0, comments_count=0, rating=0.5)"
"News(id=51986, publication_date=1731073633, title='В режиме умирания: рецензия на фильм «Время жить»', place=null, description='<p>На экраны кинотеатров вышла нетипичная мелодрама «Время жить» с Флоренс Пью <a href=""https://kudago.com/all/list/chelovek-pauk-amerikanskij/"" target=""_blank"" title=""Лучшие роли Эндрю Гарфилда"">и Эндрю Гарфилдом</a> в главных ролях. О том, каким получился современный взгляд на историю борьбы со смертельной болезнью, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе <a href=""https://kudago.com/spb/kino/"" target=""_blank"" title=""киноафиша "">про кино</a>.</p>', site_url='https://kudago.com/all/news/retsenziya-na-film-vremya-zhit/', favorites_count=0, comments_count=0, rating=0.5)"
"News(id=51983, publication_date=1731070439, title='Для желающих оформить кредит предлагают ввести тест на финансовую грамотность', place=null, description='<p>Но не для всех.</p>', site_url='https://kudago.com/all/news/dlya-zhelayuschih-oformit-kredit/', favorites_count=0, comments_count=0, rating=0.5)"
"News(id=51982, publication_date=1731068966, title='Зима близко: в Петербург слетаются совы', place=null, description='<p>А горностаи меняют шубы.</p>', site_url='https://kudago.com/spb/news/zima-blizko-v-peterburg/', favorites_count=0, comments_count=0, rating=0.5)"
"News(id=51979, publication_date=1731066923, title='Англичанка в Петербурге: Шарлотт о батонизации, глаголах движения и самом красивом русском царе', place=null, description='<p>Когда англичанка переезжает в Петербург, начинается настоящая культурная феерия: глаголы движения, окрошка, блошиные рынки и борьба за право выйти на улицу без макияжа. Шарлотт, с её лёгкой ироничностью и любовью к жёлтому цвету, рассказала о том, что её удивляет, восхищает и раздражает в России. А ещё дала совет экспатам: учите русский и покупайте хорошие ботинки.</p>', site_url='https://kudago.com/spb/news/anglichanka-v-peterburge-sharlott/', favorites_count=0, comments_count=0, rating=0.5)"
"News(id=51978, publication_date=1731062838, title='Улицы Петербурга к Новому году украсят ели из Ленобласти', place=null, description='<p>Используют деревья, которые планировали спилить для оздоровления леса.</p>', site_url='https://kudago.com/spb/news/ulitsyi-peterburga-k-novomu-godu/', favorites_count=0, comments_count=0, rating=0.5)"
"News(id=51977, publication_date=1731059858, title='Алло, мы ждём вас на завтрак! Как ресторан Kiki и KudaGo придумали совместное блюдо', place=null, description='<p>В редакции KudaGo любят поспорить: кино или выставка, плоский круассан или круглый, умер герой Райана Гослинга в конце «Драйва» или нет?.. Но в одном мы сходимся точно: завтрак — лучший приём пищи в течение дня! Поэтому вопросов о типе вкусной коллаборации и не стояло — с Kiki мы сошлись именно на завтраке. И теперь хотим разделить его с вами.</p>', site_url='https://kudago.com/spb/news/allo-myi-zhdyom-vas-na-zavtrak/', favorites_count=0, comments_count=0, rating=0.5)"
